,_id,category_code,city,country,founded_year,geoDescription,latitude,longitude,name,number_of_employees,total_money_raised,number of offices near,money by offices,employee by offices,Rank_employee,Rank_money,Rank_offices,ranking_total
28,5d2737547bf280155f216112,tech,Paris,FRA,2008,"{'type': 'Point', 'coordinates': [2.3389864, 48.8318497]}",48.8318497,2.3389864,Kwaga,10.0,2150000,7,307142.85714285716,30.571428571428573,48.0,15.0,40.0,56.8
29,5d2737547bf280155f2160ab,sports,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.130772, 51.550757]}",51.550757,-0.130772,Smarkets,15.0,2710000,13,208461.53846153847,29.384615384615383,47.0,11.0,49.0,56.6
30,5d2737547bf280155f2160d6,real_estate,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1010801, 51.5037471]}",51.5037471,-0.1010801,Zoopla,50.0,10200000,17,600000.0,23.176470588235293,14.5,32.0,54.5,56.099999999999994
31,5d2737547bf280155f216096,finance,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1418973, 51.5108803]}",51.5108803,-0.1418973,Seedcamp,4.0,5000000,18,277777.77777777775,24.88888888888889,35.0,14.0,59.5,56.0
32,5d2737547bf280155f2160e6,social,Madrid,ESP,2008,"{'type': 'Point', 'coordinates': [-3.6830316, 40.4225487]}",40.4225487,-3.6830316,Busuu,25.0,4700000,3,1566666.6666666667,23.333333333333332,16.5,50.0,14.5,55.7
33,5d2737547bf280155f216124,tech,Barcelona,ESP,2009,"{'type': 'Point', 'coordinates': [2.1920231, 41.4063346]}",41.4063346,2.1920231,Teambox,35.0,6750000,6,1125000.0,14.5,10.0,44.0,32.5,54.2
34,5d2737547bf280155f21609d,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0934254, 51.5141566]}",51.5141566,-0.0934254,Zemanta,30.0,7350000,17,432352.9411764706,23.823529411764707,23.5,22.0,54.5,53.5
35,5d2737547bf280155f21611e,music,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.0856982, 51.5253765]}",51.5253765,-0.0856982,Musicmetric,15.0,3400000,18,188888.88888888888,25.11111111111111,38.0,8.0,59.5,53.0
36,5d2737547bf280155f2160f4,tech,Halifax,CAN,2007,"{'type': 'Point', 'coordinates': [-79.3777473, 43.648786]}",43.648786,-79.3777473,Mashup Arts,6.0,1580000,4,395000.0,34.0,50.0,19.0,19.5,53.0
37,5d2737547bf280155f2160b6,tech,Stockholm,SWE,2007,"{'type': 'Point', 'coordinates': [18.064488, 59.332788]}",59.332788,18.064488,Bambuser,12.0,2500000,3,833333.3333333334,24.0,26.0,38.0,14.5,51.8
38,5d2737547bf280155f2160de,tech,Levallois-Perret,FRA,2007,"{'type': 'Point', 'coordinates': [2.3593849, 48.8687217]}",48.8687217,2.3593849,PrestaShop,80.0,3900000,11,354545.45454545453,24.727272727272727,32.5,17.0,46.0,51.5
39,5d2737547bf280155f2160d2,music,Brussels,BEL,2007,"{'type': 'Point', 'coordinates': [4.33511, 50.831147]}",50.831147,4.33511,Radionomy,12.0,6000000,3,2000000.0,10.0,4.5,53.0,14.5,50.900000000000006
40,5d2737547bf280155f216127,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1037742, 51.517356]}",51.517356,-0.1037742,Testplant,50.0,2560000,18,142222.22222222222,25.11111111111111,38.0,5.0,59.5,50.6
41,5d2737547bf280155f21609e,tech,Madrid,ESP,2007,"{'type': 'Point', 'coordinates': [-3.6952896, 40.43094]}",40.43094,-3.6952896,eRepublik,30.0,2750000,3,916666.6666666666,23.333333333333332,16.5,43.0,14.5,50.099999999999994
42,5d2737547bf280155f2160ce,enterprise,Barcelona,ESP,2007,"{'type': 'Point', 'coordinates': [2.192023, 41.406335]}",41.406335,2.192023,3scale,15.0,5000000,6,833333.3333333334,14.5,10.0,38.0,32.5,49.400000000000006
43,5d2737547bf280155f2160ca,enterprise,Barcelona,ESP,2007,"{'type': 'Point', 'coordinates': [2.192023, 41.406335]}",41.406335,2.192023,3scale,15.0,5000000,6,833333.3333333334,14.5,10.0,38.0,32.5,49.400000000000006
44,5d2737547bf280155f2160fd,social,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1046546, 51.5224267]}",51.5224267,-0.1046546,Mendeley,27.0,2130000,18,118333.33333333333,25.11111111111111,38.0,2.0,59.5,48.2
45,5d2737547bf280155f2160c9,tech,Ramat Gan,ISR,2008,"{'type': 'Point', 'coordinates': [34.8003705, 32.037363]}",32.037363,34.8003705,Tweegee,22.0,3000000,5,600000.0,23.8,20.5,32.0,23.5,47.3
46,5d2737547bf280155f2160cd,tech,Ramat Gan,ISR,2008,"{'type': 'Point', 'coordinates': [34.8003705, 32.037363]}",32.037363,34.8003705,Tweegee,22.0,3000000,5,600000.0,23.8,20.5,32.0,23.5,47.3
